,Player,selector1-href,Date,From club,To club,Date of birth,Age,National player,International matches,Market value,Posición,País,To Pais
111,Kenneth Dixon,https://www.transfermarkt.com/kenneth-dixon/profil/spieler/214815,"Dec 31, 2016",Santos FC,LD Alajuelense,"Nov 1, 1993 ",26.0,No national team players,-,-,Centre-Forward,Costa Rica,Costa Rica
112,Kenneth Dixon,https://www.transfermarkt.com/kenneth-dixon/profil/spieler/214815,"Jun 30, 2018",Santos FC,LD Alajuelense,"Nov 1, 1993 ",26.0,No national team players,-,-,Centre-Forward,Costa Rica,Costa Rica
113,Osvaldo Rodríguez,https://www.transfermarkt.com/osvaldo-rodriguez/profil/spieler/195285,"Jan 1, 2014",Santos FC,LD Alajuelense,"Dec 17, 1990 ",29.0,Costa RicaCurrent national team players,16,€225Th.,Central Midfield,Costa Rica,Costa Rica
114,Bryan Ruíz,https://www.transfermarkt.com/bryan-ruiz/profil/spieler/39642,"Jul 23, 2020",Santos FC,LD Alajuelense,"Aug 18, 1985 ",35.0,Costa RicaNo current national team players,124,€800Th.,Attacking Midfield,Costa Rica,Costa Rica
115,Jhonny Acosta,https://www.transfermarkt.com/jhonny-acosta/profil/spieler/187768,"Jul 1, 2010",Santos FC,LD Alajuelense,"Jul 21, 1983 ",37.0,Costa RicaNo current national team players,71,€150Th.,Centre-Back,Costa Rica,Costa Rica
116,Javier Loaiza,https://www.transfermarkt.com/javier-loaiza/profil/spieler/124981,"Jul 6, 2015",Santos FC,LD Alajuelense,"Mar 28, 1984 ",36.0,No national team players,-,-,Right-Back,Costa Rica,Costa Rica
117,Fernando Sequeira,https://www.transfermarkt.com/fernando-sequeira/profil/spieler/195287,"Jul 1, 2011",Santos FC,LD Alajuelense,"Oct 13, 1983 ",36.0,No national team players,-,-,Attacking Midfield,Costa Rica,Costa Rica
118,Arturo Campos,https://www.transfermarkt.com/arturo-campos/profil/spieler/353503,"Jun 30, 2016",Santos FC,LD Alajuelense,"Dec 14, 1995 ",24.0,Costa RicaNo current national team players,-,€225Th.,Centre-Forward,Costa Rica,Costa Rica
119,Kenneth Cerdas,https://www.transfermarkt.com/kenneth-cerdas/profil/spieler/278349,"Dec 31, 2015",Santos FC,LD Alajuelense,"Dec 29, 1995 ",24.0,Costa RicaCurrent national team players,-,€150Th.,Attacking Midfield,Costa Rica,Costa Rica
120,Kenneth Cerdas,https://www.transfermarkt.com/kenneth-cerdas/profil/spieler/278349,"Jun 30, 2016",Santos FC,LD Alajuelense,"Dec 29, 1995 ",24.0,Costa RicaCurrent national team players,-,€150Th.,Attacking Midfield,Costa Rica,Costa Rica
121,Diego Mesén,https://www.transfermarkt.com/diego-mesen/profil/spieler/401436,"Jun 30, 2019",Santos FC,LD Alajuelense,"Mar 28, 1999 ",21.0,No national team players,-,€50Th.,Centre-Back,Costa Rica,Costa Rica
122,Wilmer López,https://www.transfermarkt.com/wilmer-lopez/profil/spieler/106622,"Jan 1, 1999",Deportes Tolima,LD Alajuelense,"Mar 8, 1971 ",49.0,Costa RicaNo current national team players,75,-,Attacking Midfield,Colombia,Costa Rica
123,Dylan Flores,https://www.transfermarkt.com/dylan-flores/profil/spieler/131250,"Jul 1, 2018",Cartaginés,LD Alajuelense,"May 30, 1993 ",27.0,Costa RicaCurrent national team players,4,€325Th.,Attacking Midfield,Costa Rica,Costa Rica
124,Din John Arias,https://www.transfermarkt.com/din-john-arias/profil/spieler/380215,"Jan 29, 2018",Cartaginés,LD Alajuelense,"Oct 25, 1992 ",27.0,Costa RicaNo current national team players,-,€150Th.,Attacking Midfield,Costa Rica,Costa Rica
125,Andrés Lezcano,https://www.transfermarkt.com/andres-lezcano/profil/spieler/122684,"Jul 1, 2015",Cartaginés,LD Alajuelense,"May 5, 1990 ",30.0,Costa RicaNo current national team players,-,€275Th.,Centre-Forward,Costa Rica,Costa Rica
126,Alejandro Aguilar,https://www.transfermarkt.com/alejandro-aguilar/profil/spieler/193923,"Dec 31, 2015",Cartaginés,LD Alajuelense,"Oct 10, 1990 ",29.0,Costa RicaNo current national team players,1,€175Th.,Centre-Forward,Costa Rica,Costa Rica
127,Jameson Scott,https://www.transfermarkt.com/jameson-scott/profil/spieler/215472,"Jul 1, 2016",Cartaginés,LD Alajuelense,"Nov 21, 1988 ",31.0,Costa RicaNo current national team players,-,€225Th.,Centre-Back,Costa Rica,Costa Rica
128,Pablo Salazar,https://www.transfermarkt.com/pablo-salazar/profil/spieler/118066,"Jul 1, 2006",Cartaginés,LD Alajuelense,"Nov 21, 1982 ",37.0,Costa RicaNo current national team players,6,-,Centre-Back,Costa Rica,Costa Rica
129,Berny Solórzano,https://www.transfermarkt.com/berny-solorzano/profil/spieler/108732,"Jul 1, 2007",Cartaginés,LD Alajuelense,"Jul 23, 1983 ",37.0,Costa RicaNo current national team players,1,-,Attacking Midfield,Costa Rica,Costa Rica
130,Esteban Sirias,https://www.transfermarkt.com/esteban-sirias/profil/spieler/113869,"Jun 30, 2007",Cartaginés,LD Alajuelense,"Oct 3, 1980 ",39.0,Costa RicaNo current national team players,13,-,Left-Back,Costa Rica,Costa Rica
131,Víctor Núnez,https://www.transfermarkt.com/victor-nunez/profil/spieler/39633,"Jul 1, 2006",Cartaginés,LD Alajuelense,"Apr 15, 1980 ",40.0,Costa RicaNo current national team players,27,-,Centre-Forward,Costa Rica,Costa Rica
132,Alex Madrigal,https://www.transfermarkt.com/alex-madrigal/profil/spieler/376584,"Jul 1, 1996",Cartaginés,LD Alajuelense,"May 6, 1972 ",48.0,Costa RicaNo current national team players,34,-,Defender,Costa Rica,Costa Rica
133,Wardy Alfaro,https://www.transfermarkt.com/wardy-alfaro/profil/spieler/38236,"Jan 1, 2004",Cartaginés,LD Alajuelense,"Dec 31, 1977 ",42.0,Costa RicaNo current national team players,5,-,Goalkeeper,Costa Rica,Costa Rica
134,Heriberto Quirós,https://www.transfermarkt.com/heriberto-quiros/profil/spieler/676216,"Jul 1, 1999",Cartaginés,LD Alajuelense,"Jul 26, 1972 ",48.0,Costa RicaNo current national team players,7,-,Midfielder,Costa Rica,Costa Rica
135,Jurguens Montenegro,https://www.transfermarkt.com/jurguens-montenegro/profil/spieler/549758,"Dec 31, 2019",Cartaginés,LD Alajuelense,"Dec 13, 2000 ",19.0,Costa RicaCurrent national team players,-,€200Th.,Centre-Forward,Costa Rica,Costa Rica
136,Dylan Flores,https://www.transfermarkt.com/dylan-flores/profil/spieler/131250,"Jan 24, 2020",Sepsi OSK,LD Alajuelense,"May 30, 1993 ",27.0,Costa RicaCurrent national team players,4,€325Th.,Attacking Midfield,Rum,Costa Rica
137,Jossimar Pemberton,https://www.transfermarkt.com/jossimar-pemberton/profil/spieler/290072,"Jan 12, 2016",Limón FC,LD Alajuelense,"Apr 21, 1993 ",27.0,No national team players,-,€225Th.,Right Midfield,Costa Rica,Costa Rica
138,Maikol Barrantes,https://www.transfermarkt.com/maikol-barrantes/profil/spieler/383938,"Jul 1, 2017",Limón FC,LD Alajuelense,"Nov 13, 1992 ",27.0,No national team players,-,€75Th.,Left-Back,Costa Rica,Costa Rica
139,Yuaycell Wright,https://www.transfermarkt.com/yuaycell-wright/profil/spieler/215743,"Jul 1, 2017",Limón FC,LD Alajuelense,"Jun 22, 1992 ",28.0,Costa RicaCurrent national team players,-,€150Th.,Centre-Forward,Costa Rica,Costa Rica
140,Diego Díaz,https://www.transfermarkt.com/diego-diaz/profil/spieler/214814,"Jan 1, 2016",Limón FC,LD Alajuelense,"Dec 17, 1988 ",31.0,No national team players,-,-,Attacking Midfield,Costa Rica,Costa Rica
141,Steven Calderón,https://www.transfermarkt.com/steven-calderon/profil/spieler/132224,"Jan 1, 2012",Limón FC,LD Alajuelense,"Jul 14, 1985 ",35.0,No national team players,-,€150Th.,Centre-Forward,Costa Rica,Costa Rica
142,Dexter Lewis,https://www.transfermarkt.com/dexter-lewis/profil/spieler/86086,"Jul 1, 2012",Limón FC,LD Alajuelense,"Feb 2, 1981 ",39.0,Costa RicaNo current national team players,2,€75Th.,Goalkeeper,Costa Rica,Costa Rica
143,Diego Calvo,https://www.transfermarkt.com/diego-calvo/profil/spieler/192315,"Feb 4, 2015",Vålerenga,LD Alajuelense,"Mar 25, 1991 ",29.0,Costa RicaNo current national team players,10,-,Left Winger,Noruega,Costa Rica
144,Jonathan McDonald,https://www.transfermarkt.com/jonathan-mcdonald/profil/spieler/38232,"Jan 8, 2014",Kalmar FF,LD Alajuelense,"Oct 28, 1987 ",32.0,Costa RicaNo current national team players,15,€275Th.,Centre-Forward,Suecia,Costa Rica
145,Jean Carlo Agüero,https://www.transfermarkt.com/jean-carlo-aguero/profil/spieler/278146,"Dec 31, 2016",Grecia,LD Alajuelense,"Jul 6, 1993 ",27.0,No national team players,-,€200Th.,Centre-Back,Costa Rica,Costa Rica
146,Diego Brenes,https://www.transfermarkt.com/diego-brenes/profil/spieler/194510,"Jun 30, 2010",Grecia,LD Alajuelense,"Aug 24, 1990 ",30.0,No national team players,-,-,Attacking Midfield,Costa Rica,Costa Rica
147,Adonis Pineda,https://www.transfermarkt.com/adonis-pineda/profil/spieler/401552,"Jun 30, 2019",Grecia,LD Alajuelense,"Apr 2, 1997 ",23.0,Costa RicaNo current national team players,-,€200Th.,Goalkeeper,Costa Rica,Costa Rica
148,Harry Rojas,https://www.transfermarkt.com/harry-rojas/profil/spieler/353502,"Jun 30, 2018",Grecia,LD Alajuelense,"Dec 20, 1996 ",23.0,Costa RicaCurrent national team players,-,€175Th.,Centre-Forward,Costa Rica,Costa Rica
149,Keylor Díaz,https://www.transfermarkt.com/keylor-diaz/profil/spieler/363878,"Jun 30, 2020",Grecia,LD Alajuelense,"Feb 21, 1995 ",25.0,No national team players,-,€125Th.,Goalkeeper,Costa Rica,Costa Rica
150,Roberto Córdoba,https://www.transfermarkt.com/roberto-cordoba/profil/spieler/401445,"Jun 30, 2018",Grecia,LD Alajuelense,"Jul 16, 1998 ",22.0,Costa RicaNo current national team players,-,€150Th.,Central Midfield,Costa Rica,Costa Rica
151,Jhamir Ordain,https://www.transfermarkt.com/jhamir-ordain/profil/spieler/195284,"Dec 31, 2020",Pérez Zeledón,LD Alajuelense,"Jul 29, 1993 ",27.0,Costa RicaNo current national team players,2,€225Th.,Right-Back,Costa Rica,Costa Rica
152,Din John Arias,https://www.transfermarkt.com/din-john-arias/profil/spieler/380215,"Jul 1, 2017",Pérez Zeledón,LD Alajuelense,"Oct 25, 1992 ",27.0,Costa RicaNo current national team players,-,€150Th.,Attacking Midfield,Costa Rica,Costa Rica
153,Yuaycell Wright,https://www.transfermarkt.com/yuaycell-wright/profil/spieler/215743,"Jun 30, 2019",Pérez Zeledón,LD Alajuelense,"Jun 22, 1992 ",28.0,Costa RicaCurrent national team players,-,€150Th.,Centre-Forward,Costa Rica,Costa Rica
154,Ariel Rodríguez,https://www.transfermarkt.com/ariel-rodriguez/profil/spieler/111902,"Jul 1, 2013",Pérez Zeledón,LD Alajuelense,"Apr 22, 1986 ",34.0,Costa RicaNo current national team players,15,€200Th.,Defensive Midfield,Costa Rica,Costa Rica
155,Porfirio López,https://www.transfermarkt.com/porfirio-lopez/profil/spieler/156056,"Jan 30, 2018",Pérez Zeledón,LD Alajuelense,"Sep 10, 1985 ",34.0,Costa RicaNo current national team players,7,€175Th.,Centre-Back,Costa Rica,Costa Rica
156,Jorge Gatgens,https://www.transfermarkt.com/jorge-gatgens/profil/spieler/132227,"Jul 1, 2011",Pérez Zeledón,LD Alajuelense,"Jul 23, 1988 ",32.0,Costa RicaNo current national team players,1,€150Th.,Right Midfield,Costa Rica,Costa Rica
157,Juan Guzmán,https://www.transfermarkt.com/juan-guzman/profil/spieler/161672,"Jul 1, 2010",Pérez Zeledón,LD Alajuelense,"Jun 17, 1987 ",33.0,Costa RicaNo current national team players,4,€75Th.,Defensive Midfield,Costa Rica,Costa Rica
158,Windell Gabriel,https://www.transfermarkt.com/windell-gabriel/profil/spieler/79622,"Jul 1, 2007",Pérez Zeledón,LD Alajuelense,"Feb 1, 1985 ",35.0,Costa RicaNo current national team players,5,-,Forward,Costa Rica,Costa Rica
159,Windell Gabriel,https://www.transfermarkt.com/windell-gabriel/profil/spieler/79622,"Jul 1, 2008",Pérez Zeledón,LD Alajuelense,"Feb 1, 1985 ",35.0,Costa RicaNo current national team players,5,-,Forward,Costa Rica,Costa Rica
160,Kenneth García,https://www.transfermarkt.com/kenneth-garcia/profil/spieler/195535,"Jul 1, 2012",Pérez Zeledón,LD Alajuelense,"May 14, 1982 ",38.0,No national team players,-,-,Defensive Midfield,Costa Rica,Costa Rica
161,Pablo Nassar,https://www.transfermarkt.com/pablo-nassar/profil/spieler/111899,"Jul 1, 2005",Pérez Zeledón,LD Alajuelense,"Jan 28, 1977 ",43.0,No national team players,-,-,Centre-Back,Costa Rica,Costa Rica
162,Alejandro Alpízar,https://www.transfermarkt.com/alejandro-alpizar/profil/spieler/80950,"Jun 30, 2002",Pérez Zeledón,LD Alajuelense,"Jun 14, 1979 ",41.0,Costa RicaNo current national team players,15,-,Centre-Forward,Costa Rica,Costa Rica
163,Darío Alfaro,https://www.transfermarkt.com/dario-alfaro/profil/spieler/477801,"Jun 30, 2018",Pérez Zeledón,LD Alajuelense,"Feb 25, 1997 ",23.0,No national team players,-,-,Centre-Back,Costa Rica,Costa Rica
164,Jossimar Pemberton,https://www.transfermarkt.com/jossimar-pemberton/profil/spieler/290072,"Jun 30, 2017",Liberia,LD Alajuelense,"Apr 21, 1993 ",27.0,No national team players,-,€225Th.,Right Midfield,Costa Rica,Costa Rica
165,Ariel Rodríguez,https://www.transfermarkt.com/ariel-rodriguez/profil/spieler/111902,"Feb 24, 2016",Liberia,LD Alajuelense,"Apr 22, 1986 ",34.0,Costa RicaNo current national team players,15,€200Th.,Defensive Midfield,Costa Rica,Costa Rica
166,Michael Umaña,https://www.transfermarkt.com/michael-umana/profil/spieler/35380,"Sep 7, 2016",Liberia,LD Alajuelense,"Jul 16, 1982 ",38.0,Costa RicaNo current national team players,102,€125Th.,Centre-Back,Costa Rica,Costa Rica
167,Jake Beckford,https://www.transfermarkt.com/jake-beckford/profil/spieler/240127,"Jul 1, 2017",AD San Carlos,LD Alajuelense,"Jul 31, 1994 ",26.0,No national team players,-,€125Th.,Central Midfield,Costa Rica,Costa Rica
168,Álvaro Aguilar,https://www.transfermarkt.com/alvaro-aguilar/profil/spieler/195442,"Jul 1, 2017",AD San Carlos,LD Alajuelense,"Jan 24, 1992 ",28.0,No national team players,-,€125Th.,Centre-Back,Costa Rica,Costa Rica
169,José Luis Cordero,https://www.transfermarkt.com/jose-luis-cordero/profil/spieler/111957,"Jun 30, 2019",AD San Carlos,LD Alajuelense,"Jan 31, 1987 ",33.0,Costa RicaNo current national team players,-,€175Th.,Left Midfield,Costa Rica,Costa Rica
170,Patrick Pemberton,https://www.transfermarkt.com/patrick-pemberton/profil/spieler/102376,"Dec 31, 2019",AD San Carlos,LD Alajuelense,"Apr 24, 1982 ",38.0,Costa RicaNo current national team players,38,€150Th.,Goalkeeper,Costa Rica,Costa Rica
171,Álvaro Saborío,https://www.transfermarkt.com/alvaro-saborio/profil/spieler/35378,"Aug 4, 2020",AD San Carlos,LD Alajuelense,"Mar 25, 1982 ",38.0,Costa RicaNo current national team players,109,€100Th.,Centre-Forward,Costa Rica,Costa Rica
172,Álvaro Sánchez,https://www.transfermarkt.com/alvaro-sanchez/profil/spieler/108462,"Jul 1, 2012",AD San Carlos,LD Alajuelense,"Aug 2, 1984 ",36.0,Costa RicaNo current national team players,12,€100Th.,Attacking Midfield,Costa Rica,Costa Rica
173,Johnny Cubero,https://www.transfermarkt.com/johnny-cubero/profil/spieler/79973,"Jun 30, 2002",AD San Carlos,LD Alajuelense,"Feb 23, 1976 ",44.0,Costa RicaNo current national team players,5,-,Centre-Forward,Costa Rica,Costa Rica
174,Carlos Clark,https://www.transfermarkt.com/carlos-clark/profil/spieler/193924,"Jul 1, 2009",AD San Carlos,LD Alajuelense,"Aug 21, 1979 ",41.0,No national team players,-,-,Centre-Forward,Costa Rica,Costa Rica
175,Carlos Rodríguez,https://www.transfermarkt.com/carlos-rodriguez/profil/spieler/195537,"Jun 30, 2007",AD San Carlos,LD Alajuelense,"Nov 15, 1978 ",41.0,No national team players,-,-,Right-Back,Costa Rica,Costa Rica
176,Carlos Hidalgo,https://www.transfermarkt.com/carlos-hidalgo/profil/spieler/779765,"Jul 1, 1986",AD San Carlos,LD Alajuelense,"Feb 15, 1963 ",57.0,Costa RicaNo current national team players,-,-,Forward,Costa Rica,Costa Rica
177,Rolando Villalobos,https://www.transfermarkt.com/rolando-villalobos/profil/spieler/779769,"Jul 1, 1981",AD San Carlos,LD Alajuelense,"Jul 25, 1953 ",67.0,Costa RicaNo current national team players,-,-,Midfielder,Costa Rica,Costa Rica
178,Jefry Valverde,https://www.transfermarkt.com/jefry-valverde/profil/spieler/300166,"Dec 31, 2020",AD San Carlos,LD Alajuelense,"Jun 10, 1995 ",25.0,Costa RicaCurrent national team players,-,€200Th.,Left Midfield,Costa Rica,Costa Rica
179,Roberto Córdoba,https://www.transfermarkt.com/roberto-cordoba/profil/spieler/401445,"Jan 1, 2017",AD San Carlos,LD Alajuelense,"Jul 16, 1998 ",22.0,Costa RicaNo current national team players,-,€150Th.,Central Midfield,Costa Rica,Costa Rica
180,Roberto Córdoba,https://www.transfermarkt.com/roberto-cordoba/profil/spieler/401445,"Jun 30, 2020",AD San Carlos,LD Alajuelense,"Jul 16, 1998 ",22.0,Costa RicaNo current national team players,-,€150Th.,Central Midfield,Costa Rica,Costa Rica
181,Wilson Muñoz,https://www.transfermarkt.com/wilson-munoz/profil/spieler/213357,"Jul 1, 1995",Unknown,LD Alajuelense,"Feb 5, 1975 ",45.0,No national team players,-,-,Midfielder,Unknown,Costa Rica
182,Wilson Muñoz,https://www.transfermarkt.com/wilson-munoz/profil/spieler/213357,"Jul 1, 1998",Mpl Turrialba,LD Alajuelense,"Feb 5, 1975 ",45.0,No national team players,-,-,Midfielder,Costa Rica,Costa Rica
183,Esteban Marín,https://www.transfermarkt.com/esteban-marin/profil/spieler/419381,"Dec 31, 2019",La U,LD Alajuelense,"Mar 31, 1996 ",24.0,No national team players,-,€75Th.,Centre-Back,Costa Rica,Costa Rica
184,Fernán Faerron,https://www.transfermarkt.com/fernan-faerron/profil/spieler/378520,"Jan 5, 2020",Fútbol Cons.,LD Alajuelense,"Aug 22, 2000 ",20.0,No national team players,-,€175Th.,Centre-Back,Costa Rica,Costa Rica
185,Fernán Faerron,https://www.transfermarkt.com/fernan-faerron/profil/spieler/378520,"Jul 1, 2020",Fútbol Cons.,LD Alajuelense,"Aug 22, 2000 ",20.0,No national team players,-,€175Th.,Centre-Back,Costa Rica,Costa Rica
186,Yendrick Ruiz,https://www.transfermarkt.com/yendrick-ruiz/profil/spieler/111904,"Dec 31, 2010",Brujas FC,LD Alajuelense,"Apr 12, 1987 ",33.0,Costa RicaNo current national team players,7,€250Th.,Centre-Forward,Costa Rica,Costa Rica
187,Ignacio Aguilar,https://www.transfermarkt.com/ignacio-aguilar/profil/spieler/111908,"Jan 1, 2008",Brujas FC,LD Alajuelense,"Sep 20, 1986 ",33.0,No national team players,-,-,Centre-Forward,Costa Rica,Costa Rica
188,Cristhiam Lagos,https://www.transfermarkt.com/cristhiam-lagos/profil/spieler/158352,"Jan 1, 2011",Brujas FC,LD Alajuelense,"Aug 17, 1984 ",36.0,Costa RicaNo current national team players,2,-,Centre-Forward,Costa Rica,Costa Rica
189,Brayan López,https://www.transfermarkt.com/brayan-lopez/profil/spieler/224998,"Jul 1, 2017",Guadalupe FC,LD Alajuelense,"Jun 3, 1990 ",30.0,Costa RicaCurrent national team players,-,€225Th.,Right Midfield,Costa Rica,Costa Rica
190,Bryan Jiménez,https://www.transfermarkt.com/bryan-jimenez/profil/spieler/481109,"Jun 30, 2019",Guadalupe FC,LD Alajuelense,"May 29, 1996 ",24.0,No national team players,-,-,Centre-Forward,Costa Rica,Costa Rica
191,Alonso Martínez,https://www.transfermarkt.com/alonso-martinez/profil/spieler/479870,"Jun 30, 2020",Guadalupe FC,LD Alajuelense,"Oct 15, 1998 ",21.0,No national team players,-,€175Th.,Centre-Forward,Costa Rica,Costa Rica
192,Adonis Pineda,https://www.transfermarkt.com/adonis-pineda/profil/spieler/401552,"Jun 30, 2021",Sp. San José,LD Alajuelense,"Apr 2, 1997 ",23.0,Costa RicaNo current national team players,-,€200Th.,Goalkeeper,Costa Rica,Costa Rica
193,Arturo Campos,https://www.transfermarkt.com/arturo-campos/profil/spieler/353503,"Dec 31, 2017",Cofutpa,LD Alajuelense,"Dec 14, 1995 ",24.0,Costa RicaNo current national team players,-,€225Th.,Centre-Forward,Costa Rica,Costa Rica
194,Jefry Valverde,https://www.transfermarkt.com/jefry-valverde/profil/spieler/300166,"Jul 7, 2020",ADR Jicaral,LD Alajuelense,"Jun 10, 1995 ",25.0,Costa RicaCurrent national team players,-,€200Th.,Left Midfield,Costa Rica,Costa Rica
